Date,Close,High,Low,Open,Volume
2006-10-30,327.74615478515625,332.94847470238096,320.8097282288566,322.54383486793154,1108950000
2006-11-06,350.28955078125,353.7577641553218,327.74616384978344,332.9484839108911,1446740000
2006-11-13,346.82135009765625,353.75777709960937,332.94849609375,332.94849609375,1046870000
2006-11-20,378.0351867675781,384.9716122128548,346.8212722638331,353.7576977091098,948620000
2006-11-27,374.5671081542969,384.9717500474718,357.2260383323387,378.0353221186885,891020000
2006-12-04,357.2259826660156,374.56704978572515,350.2895558181318,367.63062293784134,843590000
2006-12-11,360.69415283203125,364.16236584003155,346.82130080003003,353.75772681603064,921950000
2006-12-18,357.2259826660156,360.69419608995753,339.88491554630616,357.2259826660156,661160000
2006-12-25,360.69415283203125,360.69415283203125,353.75772681603064,357.22593982403095,263960000
2007-01-01,360.69415283203125,364.16236584003155,353.75772681603064,360.69415283203125,398830000
2007-01-08,332.9484558105469,364.16237354278564,319.0756034851074,364.16237354278564,1151010000
2007-01-15,364.162353515625,364.162353515625,332.94843749999995,346.8212890625,664400000
2007-01-22,357.2259826660156,374.56704978572515,346.8213423941899,374.56704978572515,1127200000
2007-01-29,378.0351867675781,378.0351867675781,346.8212722638331,350.28948498647145,1015500000
2007-02-05,346.82135009765625,374.56705810546873,339.88492309570313,367.6306311035156,667310000
2007-02-12,364.162353515625,364.162353515625,336.41665039062497,346.8212890625,636150000
2007-02-19,350.28955078125,364.1624042775372,346.82133740717825,360.69419090346537,452370000
2007-02-26,336.41668701171875,350.289540084367,326.0120472072326,343.35311354804287,1128320000
2007-03-05,343.35308837890625,346.8213013928346,331.214342830157,332.9484493371212,528310000
2007-03-12,346.82135009765625,364.16241760253905,343.3531365966797,353.75777709960937,607330000
2007-03-19,357.2259826660156,364.16240951389943,339.88491554630616,346.8213423941899,321330000
2007-03-26,353.7578125,360.6942401960784,350.2895986519608,357.22602634803917,470250000
2007-04-02,367.63055419921875,384.9716180765404,357.22591587282574,364.1623414237544,886190000
2007-04-09,367.63055419921875,381.50340530107604,364.1623414237544,371.0987669746831,620190000
2007-04-16,371.098876953125,371.098876953125,353.7578079366238,367.6306631498248,594640000
2007-04-23,378.0351867675781,381.50339949021645,367.63054859966314,371.09876132230147,711890000
2007-04-30,374.5671081542969,378.0353221186885,364.16246626112195,367.6306802255136,557010000
2007-05-07,364.162353515625,378.035205078125,364.162353515625,378.035205078125,522330000
2007-05-14,384.9717712402344,384.9717712402344,367.63070046364726,378.0353429295995,498250000
2007-05-21,371.098876953125,391.9081597729264,367.6306631498248,381.5035183630257,1084110000
2007-05-28,364.162353515625,381.50341796875,357.225927734375,381.50341796875,767470000
2007-06-04,374.5671081542969,381.5035360830801,360.6942522967303,367.6306802255136,1967620000
